feature,importance
cat__timestamp_sec_str_1987-10-05 11:02:51 UTC,3.126879604104988e-19
cat__timestamp_sec_str_1987-10-05 11:06:17 UTC,3.120211322925467e-19
cat__timestamp_sec_str_1987-10-05 11:03:48 UTC,3.0693017258257107e-19
cat__timestamp_sec_str_1987-10-05 11:04:04 UTC,3.0075097226745035e-19
cat__timestamp_sec_str_1987-10-05 11:02:32 UTC,3.0003989038512094e-19
cat__timestamp_1987-10-05 11:06:10+00:00,2.981628752785685e-19
cat__timestamp_sec_str_1987-10-05 11:05:32 UTC,2.9727503046585455e-19
cat__timestamp_sec_str_1987-10-05 11:05:19 UTC,2.952348782229619e-19
cat__timestamp_1987-10-05 11:08:55+00:00,2.799367917311754e-19
cat__timestamp_sec_str_1987-10-05 11:06:15 UTC,2.7610650730442584e-19
cat__timestamp_sec_str_1987-10-05 11:06:50 UTC,2.73839178217363e-19
cat__timestamp_sec_str_1987-10-05 11:06:05 UTC,2.523301817089795e-19
cat__timestamp_1987-10-05 11:04:35+00:00,2.482920120605751e-19
cat__timestamp_sec_str_1987-10-05 11:01:32 UTC,2.451389355865704e-19
cat__timestamp_1987-10-05 11:04:28+00:00,2.444838969306717e-19
cat__timestamp_sec_str_1987-10-05 11:04:25 UTC,2.294674898475731e-19
cat__timestamp_1987-10-05 11:05:14+00:00,2.1737166331904913e-19
cat__timestamp_sec_str_1987-10-05 11:05:08 UTC,2.0545765573462791e-19
cat__timestamp_1987-10-05 11:04:25+00:00,2.0217205468773268e-19
cat__timestamp_1987-10-05 11:03:51+00:00,1.998427502520284e-19
cat__timestamp_sec_str_1987-10-05 11:05:16 UTC,1.8078898560727767e-19
cat__timestamp_1987-10-05 11:05:30+00:00,1.6458592763528177e-19
cat__timestamp_1987-10-05 11:06:07+00:00,1.63631090553725e-19
cat__timestamp_sec_str_1987-10-05 11:05:57 UTC,1.6113482944050093e-19
cat__timestamp_sec_str_1987-10-05 11:04:58 UTC,1.6040454119594833e-19
cat__group_id_s_2,1.5939998309272702e-19
cat__timestamp_1987-10-05 11:01:37+00:00,1.5862681453521968e-19
cat__timestamp_1987-10-05 11:04:59+00:00,1.5746474128298632e-19
cat__timestamp_1987-10-05 11:04:27+00:00,1.542623280473932e-19
cat__timestamp_sec_str_1987-10-05 11:05:00 UTC,1.5298893686929753e-19
cat__timestamp_sec_str_1987-10-05 11:05:10 UTC,1.5242602998730487e-19
