feature,importance
cat__timestamp_1987-10-05 11:05:27+00:00,0.0
cat__timestamp_1987-10-05 11:05:28+00:00,0.0
cat__timestamp_1987-10-05 11:05:29+00:00,0.0
cat__timestamp_1987-10-05 11:05:30+00:00,0.0
cat__timestamp_1987-10-05 11:05:31+00:00,0.0
cat__timestamp_1987-10-05 11:05:32+00:00,0.0
cat__timestamp_1987-10-05 11:05:34+00:00,0.0
cat__timestamp_1987-10-05 11:05:35+00:00,0.0
cat__timestamp_1987-10-05 11:05:53+00:00,0.0
cat__timestamp_1987-10-05 11:05:37+00:00,0.0
cat__timestamp_1987-10-05 11:05:38+00:00,0.0
cat__timestamp_1987-10-05 11:05:39+00:00,0.0
cat__timestamp_1987-10-05 11:05:40+00:00,0.0
cat__timestamp_1987-10-05 11:05:42+00:00,0.0
cat__timestamp_1987-10-05 11:05:43+00:00,0.0
cat__timestamp_1987-10-05 11:05:44+00:00,0.0
cat__timestamp_1987-10-05 11:05:45+00:00,0.0
cat__timestamp_1987-10-05 11:05:47+00:00,0.0
cat__timestamp_1987-10-05 11:05:48+00:00,0.0
cat__timestamp_1987-10-05 11:05:49+00:00,0.0
cat__timestamp_1987-10-05 11:05:50+00:00,0.0
cat__timestamp_1987-10-05 11:05:51+00:00,0.0
cat__timestamp_1987-10-05 11:05:52+00:00,0.0
cat__timestamp_1987-10-05 11:05:36+00:00,0.0
cat__timestamp_1987-10-05 11:06:58+00:00,0.0
cat__timestamp_1987-10-05 11:06:59+00:00,0.0
cat__timestamp_1987-10-05 11:07:00+00:00,0.0
cat__timestamp_1987-10-05 11:07:01+00:00,0.0
cat__timestamp_1987-10-05 11:07:02+00:00,0.0
cat__timestamp_1987-10-05 11:07:03+00:00,0.0
cat__timestamp_1987-10-05 11:07:04+00:00,0.0
cat__timestamp_1987-10-05 11:07:05+00:00,0.0
cat__timestamp_1987-10-05 11:07:06+00:00,0.0
cat__timestamp_1987-10-05 11:07:07+00:00,0.0
cat__timestamp_1987-10-05 11:07:08+00:00,0.0
cat__timestamp_1987-10-05 11:07:09+00:00,0.0
cat__timestamp_1987-10-05 11:07:10+00:00,0.0
cat__timestamp_1987-10-05 11:06:28+00:00,0.0
